name,win_rate,jsd
2m_vs_2m_2,0.9644513130187988,0.02223739724536492
2m_vs_2m_0,0.965299665927887,0.06989638892063992
2m_vs_2m_1,0.9626458883285522,0.06900271534521707
2m_vs_2m_4,0.9687011241912842,0.1263193579102061
2m_vs_2m_3,0.9713622331619264,0.0714500468227676
2m_vs_2m_5,0.9685039520263672,0.035146525485631984
3m_vs_2m_5,1.0,0.019626579479098898
3m_vs_2m_4,1.0,0.02551115278941007
3m_vs_2m_3,1.0,0.062116116593995
3m_vs_2m_2,1.0,0.05684149624337458
3m_vs_2m_0,1.0,0.02560271038877445
3m_vs_2m_1,1.0,0.04305412013195782
4m_vs_2m_1,0.9985052347183228,0.07422787984807773
4m_vs_2m_2,0.9995189905166626,0.01880466550257692
4m_vs_2m_0,0.9980506896972656,0.09072078900552734
4m_vs_2m_5,0.999509334564209,0.1362776976198689
4m_vs_2m_4,0.998552143573761,0.1055316583568962
4m_vs_2m_3,0.999513864517212,0.09071053846328324
5m_vs_2m_5,1.0,0.0469349280986025
5m_vs_2m_5,0.9987091422080994,0.03692769275393729
5m_vs_2m_3,0.9995778799057008,0.07342051797834459
5m_vs_2m_0,0.9995741248130798,0.07759735787260648
5m_vs_2m_1,0.9995731711387634,0.032664380736076096
5m_vs_2m_3,0.9995739459991456,0.032664380736076096
forgotten-republic-25,,
rogue-tie-fighter-26,,
