name,win_rate,jsd
2m_vs_3m_1,0.0,0.16848995179767584
2m_vs_3m_2,0.0,0.10797081570490252
2m_vs_3m_0,0.0,0.05418489577571051
2m_vs_3m_5,0.0,0.10790381505707929
2m_vs_3m_4,0.0,0.024251634394779144
2m_vs_3m_3,0.0,0.08478965965903325
3m_vs_3m_4,0.21827411651611328,0.09680939373091448
3m_vs_3m_3,0.20889347791671753,0.21107757302112065
3m_vs_3m_5,0.138364776968956,0.1367149771776209
3m_vs_3m_1,0.18717683851718905,0.1082696176921009
3m_vs_3m_2,0.15128755569458008,0.1024897187615238
3m_vs_3m_2,0.15128755569458008,0.1024897187615238
4m_vs_3m_2,0.5821831822395325,0.16660326814164722
4m_vs_3m_0,0.6615886688232422,0.0794587724408497
3m_vs_3m_0,0.12748537957668304,0.09714954833722753
4m_vs_3m_5,0.4589707851409912,0.19233561027496615
4m_vs_3m_4,0.5772833824157715,0.1405765813262632
4m_vs_3m_2,0.4330357015132904,0.12846050837867215
5m_vs_3m_0,0.6515544056892395,0.15206946198043056
5m_vs_3m_2,0.5751366019248962,0.22118201578012983
5m_vs_3m_1,0.6457286477088928,0.12294465783119528
5m_vs_3m_3,0.5660091042518616,0.1775836776992417
5m_vs_3m_4,0.5664652585983276,0.2508231426559188
5m_vs_3m_5,0.5287878513336182,0.184427059979126
6m_vs_3m_5,0.7613940834999084,0.1013318284033904
6m_vs_3m_3,0.7891492247581482,0.1651914758057348
6m_vs_3m_4,0.7647740244865417,0.15569628923240428
6m_vs_3m_2,0.7043147087097168,0.1635102974168633
6m_vs_3m_1,0.800000011920929,0.1478639391596449
6m_vs_3m_0,0.8446389436721802,0.13177291990040618

2m_vs_2m_0,0.9655712246894836,0.1064101532023746
2m_vs_2m_1,0.9626458883285522,0.07342557854891545
2m_vs_2m_2,0.9644513130187988,0.029750026826385875
2m_vs_2m_3,0.9676911234855652,0.06447069225377872
2m_vs_2m_5,0.9685039520263672,0.03514652548563198
2m_vs_2m_4,0.9687011241912842,0.15215164718374544
2m_vs_2m_6,0.9644268751144408,0.15697498632728576
2m_vs_2m_7,0.9215844869613647,0.09434813236712286
2m_vs_2m_8,0.953987717628479,0.09121317204962424
2m_vs_2m_9,0.948345422744751,0.06900271534521707
3m_vs_2m_1,1.0,0.033808619469910164
3m_vs_2m_0,0.9988992810249328,0.02184436838145336
3m_vs_2m_2,0.9994465708732604,0.02795409864423446
3m_vs_2m_4,1.0,0.05474021894861908
3m_vs_2m_3,0.9983686804771424,0.03588229601059396
3m_vs_2m_5,1.0,0.05845173086885168
4m_vs_2m_0,0.9985584020614624,0.13145411425146877
4m_vs_2m_2,0.9995189905166626,0.03231013028085017
4m_vs_2m_1,0.9985052347183228,0.08607578345115072
4m_vs_2m_3,0.9990243911743164,0.13602425367588278
4m_vs_2m_5,0.999509334564209,0.14808967577504445
4m_vs_2m_4,0.998552143573761,0.1337695693386264
4m_vs_2m_6,0.9995145797729492,0.06085527907948902
4m_vs_2m_7,0.9990379810333252,0.04767759044922204
4m_vs_2m_8,0.999035656452179,0.042799565034637166
4m_vs_2m_9,0.997551441192627,0.08065176127214861
5m_vs_2m_9,1.0,0.06547937003316073
5m_vs_2m_8,0.9995759129524232,0.10686579768045276
5m_vs_2m_7,0.9995755553245544,0.045548032798688146
5m_vs_2m_6,0.9995784163475036,0.1117976481455549
5m_vs_2m_5,0.9987091422080994,0.0433899181664751
5m_vs_2m_4,0.998705804347992,0.09422612892893652
5m_vs_2m_3,0.9995739459991456,0.032664380736076096
5m_vs_2m_2,1.0,0.09234084192641084
5m_vs_2m_1,0.9995731711387634,0.032664380736076096
5m_vs_2m_0,0.999570608139038,0.0662694687143616
5m_vs_2m_10,0.997863233089447,0.12005479574161078
5m_vs_2m_11,0.9991481900215148,0.05515735553126875
5m_vs_2m_12,0.9991304278373718,0.032664380736076096
5m_vs_2m_13,1.0,0.10916617190969738
5m_vs_2m_15,0.9995710253715516,0.09542637455025706
5m_vs_2m_14,0.9991445541381836,0.07286298869758287
4m_vs_2m_15,0.99951171875,0.0734845700516141
4m_vs_2m_13,0.9985111951828004,0.10507827896074697
4m_vs_2m_14,1.0,0.05436499872277385
4m_vs_2m_12,0.9995086193084716,0.0963985569587262
4m_vs_2m_11,0.9990290999412536,0.02604894820168206
4m_vs_2m_10,0.9995136260986328,0.1172472936942092
6m_vs_2m_0,0.9982949495315552,0.118585117359265
6m_vs_2m_2,0.9991397857666016,0.124312743640081
6m_vs_2m_1,0.9991725087165833,0.042639196977529874
6m_vs_2m_3,0.997475802898407,0.09684172820642312
6m_vs_2m_4,0.9995819330215454,0.08719506244977938
6m_vs_2m_5,0.9991543292999268,0.08989252167811533
