name,win_rate,jsd
2m_vs_2m_0,0.9655712246894836,0.1064101532023746
2m_vs_2m_1,0.9626458883285522,0.07342557854891545
2m_vs_2m_2,0.9644513130187988,0.029750026826385875
2m_vs_2m_3,0.9676911234855652,0.06447069225377872
2m_vs_2m_5,0.9685039520263672,0.03514652548563198
2m_vs_2m_4,0.9687011241912842,0.15215164718374544
2m_vs_2m_6,0.9644268751144408,0.15697498632728576
2m_vs_2m_7,0.9215844869613647,0.09434813236712286
2m_vs_2m_8,0.953987717628479,0.09121317204962424
2m_vs_2m_9,0.948345422744751,0.06900271534521707
3m_vs_2m_9,1.0,0.031966502293452374
3m_vs_2m_8,1.0,0.09637250161649376
3m_vs_2m_8,1.0,0.09637250161649376
3m_vs_2m_6,1.0,0.07355431281362014
3m_vs_2m_4,1.0,0.07846978765258153
3m_vs_2m_5,1.0,0.17126562340620752
3m_vs_2m_3,1.0,0.062116116593995
3m_vs_2m_2,1.0,0.019626579479098898
3m_vs_2m_1,1.0,0.07163680030574274
3m_vs_2m_1,1.0,0.07163680030574274
4m_vs_2m_0,0.9985584020614624,0.13145411425146877
4m_vs_2m_0,0.9985584020614624,0.13145411425146877
4m_vs_2m_0,0.9985584020614624,0.13145411425146877
4m_vs_2m_0,0.9985584020614624,0.13145411425146877
4m_vs_2m_0,0.9985584020614624,0.13145411425146877
4m_vs_2m_0,0.9985584020614624,0.13145411425146877
4m_vs_2m_0,0.9985584020614624,0.13145411425146877
4m_vs_2m_0,0.9985584020614624,0.13145411425146877
4m_vs_2m_0,0.9985584020614624,0.13145411425146877
4m_vs_2m_0,0.9985584020614624,0.13145411425146877
5m_vs_2m_0,0.9995741248130798,0.09129710939072312
5m_vs_2m_0,0.9995741248130798,0.09129710939072312
5m_vs_2m_0,0.9995741248130798,0.09129710939072312
5m_vs_2m_0,0.9995741248130798,0.09129710939072312
5m_vs_2m_0,0.9995741248130798,0.09129710939072312
5m_vs_2m_0,0.9995741248130798,0.09129710939072312
5m_vs_2m_0,0.9995741248130798,0.09129710939072312
5m_vs_2m_0,0.9995741248130798,0.09129710939072312
old-cruiser-39,,
