name,win_rate,jsd
2m_vs_3m_1,0.0,0.16848995179767584
2m_vs_3m_2,0.0,0.10797081570490252
2m_vs_3m_0,0.0,0.05418489577571051
2m_vs_3m_5,0.0,0.10790381505707929
2m_vs_3m_4,0.0,0.024251634394779144
2m_vs_3m_3,0.0,0.08478965965903325
3m_vs_3m_4,0.21827411651611328,0.09680939373091448
3m_vs_3m_3,0.20889347791671753,0.21107757302112065
3m_vs_3m_5,0.138364776968956,0.1367149771776209
3m_vs_3m_1,0.18717683851718905,0.1082696176921009
3m_vs_3m_2,0.15128755569458008,0.1024897187615238
3m_vs_3m_2,0.15128755569458008,0.1024897187615238
4m_vs_3m_2,0.5821831822395325,0.16660326814164722
4m_vs_3m_0,0.6615886688232422,0.0794587724408497
3m_vs_3m_0,0.12748537957668304,0.09714954833722753
rebel-womprat-16,,
