name,num_agents,num_landmarks,reward,jsd,laststep_jsd
kind-paper-16,2.0,2.0,-6.6648406982421875,0.5579230452841438,0.5579230452841438
twilight-wind-17,2.0,2.0,-9.807745933532717,0.5579230452841438,0.5579230452841438
divine-valley-18,2.0,2.0,-5.503944396972656,0.5579230452841438,0.5579230452841438
still-smoke-19,2.0,2.0,-7.097390174865723,0.5579230452841438,0.5579230452841438
sage-resonance-20,2.0,2.0,-7.454912662506104,0.5579230452841438,0.5579230452841438
proud-spaceship-21,2.0,2.0,-16.092182159423828,0.5579230452841438,0.5579230452841438
volcanic-smoke-22,2.0,2.0,-9.424819946289062,0.5579230452841438,0.5579230452841438
noble-surf-23,2.0,2.0,-18.64132308959961,0.5579230452841438,0.5579230452841438
feasible-firebrand-24,2.0,2.0,-7.5500688552856445,0.5579230452841438,0.5579230452841438
ethereal-smoke-25,2.0,2.0,-13.00587272644043,0.5579230452841438,0.5579230452841438
solar-snow-26,2.0,3.0,-25.932348251342773,0.5579230452841438,0.5579230452841438
clean-plasma-27,2.0,3.0,-27.45718765258789,0.5579230452841438,0.5579230452841438
cerulean-disco-28,2.0,3.0,-38.3853645324707,0.5579230452841438,0.5579230452841438
devout-totem-29,2.0,3.0,-20.002477645874023,0.5579230452841438,0.5579230452841438
atomic-breeze-30,2.0,3.0,-37.950706481933594,0.28596083852511334,0.5579230452841438
different-sun-31,2.0,3.0,-24.167461395263672,0.4092792959845473,0.5579230452841438
lyric-star-32,2.0,3.0,-31.832687377929688,0.5579230452841438,0.5579230452841438
exalted-darkness-33,2.0,3.0,-42.55049514770508,0.5579230452841438,0.5579230452841438
comfy-monkey-34,2.0,3.0,-34.944305419921875,0.5579230452841438,NaN
iconic-salad-35,2.0,3.0,-17.214691162109375,0.5579230452841438,0.5579230452841438
stilted-sun-36,2.0,5.0,-66.73573303222656,NaN,NaN
peach-tree-37,2.0,5.0,-85.25403594970703,NaN,NaN
lemon-deluge-38,2.0,5.0,-72.1536636352539,NaN,NaN
effortless-snowflake-39,2.0,5.0,-67.59183502197266,NaN,NaN
robust-universe-40,2.0,5.0,-102.54938507080078,NaN,NaN
resilient-snowflake-41,2.0,5.0,-82.64698028564453,NaN,NaN
fiery-elevator-42,2.0,5.0,-82.36665344238281,0.5579230452841438,NaN
vivid-gorge-43,2.0,5.0,-71.4047622680664,0.5579230452841438,NaN
volcanic-monkey-44,2.0,5.0,-87.48287200927734,NaN,NaN
usual-snowflake-45,2.0,5.0,-65.84765625,NaN,NaN
warm-cloud-46,2.0,10.0,-152.0693359375,0.5579230452841438,NaN
dry-sound-47,2.0,10.0,-154.08128356933594,0.5579230452841438,NaN
floral-dream-48,2.0,10.0,-148.3119354248047,0.5579230452841438,NaN
dainty-valley-49,2.0,10.0,-168.05398559570312,0.5579230452841438,NaN
fragrant-terrain-50,2.0,10.0,-136.23031616210938,0.5579230452841438,0.5579230452841438
quiet-deluge-51,2.0,10.0,-126.28048706054688,0.5579230452841438,NaN
light-pine-52,2.0,10.0,-149.13809204101562,0.5579230452841438,NaN
autumn-night-53,2.0,10.0,-189.27145385742188,0.5579230452841438,NaN
rosy-sponge-54,2.0,10.0,-153.3269805908203,0.5579230452841438,NaN
